Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
12.352	0.84	0.74	-9.75	0.06	0.00	0.02
12.383	0.93	0.75	-9.85	0.02	-0.05	-0.03
12.409	0.91	0.78	-9.69	-0.06	0.00	0.06
12.437	0.89	0.72	-9.80	0.06	0.03	-0.08
12.464	0.85	0.75	-9.73	0.02	-0.09	0.01
12.491	0.91	0.83	-9.84	-0.00	-0.02	0.08
12.518	0.91	0.72	-9.78	0.03	-0.13	-0.04
12.546	0.93	0.75	-9.75	0.04	0.07	-0.07
12.572	0.83	0.70	-9.79	-0.06	0.02	0.03
12.599	0.94	0.66	-9.73	-0.10	0.00	0.03
12.626	0.91	0.75	-9.70	-0.01	0.04	0.03
12.653	0.85	0.84	-9.78	-0.03	-0.01	0.05
12.681	0.89	0.73	-9.83	0.09	-0.15	-0.07
12.707	0.82	0.73	-9.81	0.03	-0.06	-0.00
